sample_name	depth_avg	mapped_reads	total_reads	n_actg	n_missing	n_gap	n_ambiguous	ref_snps	ref_mnps	ref_indels	depth_q.01	depth_q.05	depth_q.1	depth_q.25	depth_q.5	depth_q.75	depth_frac_above_10x	depth_frac_above_25x	depth_frac_above_50x	depth_frac_above_100x	mapped_paired	paired_inward	paired_outward	paired_other_orientation
RR065e_04092_W-R214-F6_K11_S171	2687.049	632213	2125160	29139	677	0	4	21	0	0	3.000	28.000	124.000	552.000	1660.000	3610.500	0.975	0.949	0.949	0.915	629846	503132	126058	1084
RR065e_04093_W-R214-G6_M11_S173	220.107	48403	2409670	25506	4276	0	14	13	0	0	0.000	0.000	5.000	35.000	130.000	315.000	0.854	0.767	0.767	0.593	48226	43396	4620	10
RR065e_04094_W-R214-H6_O11_S175	946.762	205243	3795516	29178	639	0	1	21	0	0	0.000	31.000	94.000	277.000	675.000	1250.500	0.976	0.951	0.951	0.895	204664	188126	16506	94
RR065e_04095_W-R214-A7_A13_S193	18.567	4221	1576392	9458	20320	0	5	11	0	1	0.000	0.000	0.000	0.000	0.000	16.000	0.316	0.156	0.156	0.048	4206	3570	582	2
RR065e_04096_W-R214-B7_C13_S195	26.235	6091	690644	8960	20820	0	3	8	0	1	0.000	0.000	0.000	0.000	0.000	18.000	0.300	0.194	0.194	0.075	6070	4836	1154	0
RR065e_04097_W-R214-C7_E13_S197	1.300	300	574990	601	23339	0	2	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.020	0.012	0.012	0.005	300	238	60	0
RR065e_04098_W-R214-D7_G13_S199	1.090	254	384690	1137	24466	0	3	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.038	0.010	0.010	0.000	254	212	38	0
RR065e_04099_W-R214-E7_I13_S201	2277.392	537755	1124330	29235	635	0	4	24	0	0	1.000	49.000	199.000	924.000	1783.000	3020.000	0.978	0.957	0.957	0.931	535697	424140	111232	1068
RR065e_04100_W-R214-F7_K13_S203	5335.294	1261980	2401368	29839	63	0	0	21	0	0	62.020	419.100	898.200	2647.000	4425.000	7011.000	0.998	0.995	0.995	0.980	1257316	994766	262066	1426
RR065e_04101_W-R214-G7_M13_S205	16.205	3552	1175984	7275	22475	0	5	5	0	0	0.000	0.000	0.000	0.000	0.000	9.000	0.243	0.122	0.122	0.037	3537	3218	294	0
