sample_name	depth_avg	mapped_reads	total_reads	n_actg	n_missing	n_gap	n_ambiguous	ref_snps	ref_mnps	ref_indels	depth_q.01	depth_q.05	depth_q.1	depth_q.25	depth_q.5	depth_q.75	depth_frac_above_10x	depth_frac_above_25x	depth_frac_above_50x	depth_frac_above_100x	mapped_paired	paired_inward	paired_outward	paired_other_orientation
RR066e_02049_W-R218-F2_K03_S427	82.523	22057	6162194	17974	11769	0	23	17	0	0	0.000	0.000	0.000	4.000	16.000	68.000	0.603	0.396	0.396	0.207	21934	14270	7500	22
RR066e_02050_W-R218-G2_M03_S429	4698.943	1179752	2032814	29755	108	0	0	25	0	0	67.000	1080.000	1757.200	2862.000	4371.000	6312.000	0.995	0.991	0.991	0.990	1174181	851104	322652	688
RR066e_02051_W-R218-H2_O03_S431	1785.542	481792	6688358	29423	393	0	5	16	0	1	4.000	38.000	114.000	331.000	1003.000	2182.000	0.984	0.956	0.956	0.907	479299	316340	162542	304
RR066e_02052_W-R218-A3_A05_S449	21691.098	5582894	8237538	29860	43	0	0	11	0	0	4537.040	7964.300	10297.200	14740.500	20672.000	27302.000	0.999	0.998	0.998	0.997	5556009	3890440	1665600	2230
RR066e_02053_W-R218-B3_C05_S451	21437.520	5483092	7346680	29847	52	0	0	21	0	0	1364.000	6210.100	8570.000	12844.500	19305.000	28532.500	0.998	0.998	0.998	0.997	5456557	3853796	1601788	2738
RR066e_02054_W-R218-C3_E05_S453	14554.473	3725279	7208558	29834	66	0	0	11	0	0	342.000	1608.000	2996.200	7643.000	13121.000	20072.000	0.998	0.997	0.997	0.997	3706848	2611452	1094668	1770
RR066e_02055_W-R218-D3_G05_S455	24535.037	6279542	7963506	29847	56	0	0	11	0	0	1802.020	8483.200	10989.200	16196.000	23240.000	31339.500	0.998	0.997	0.997	0.997	6249750	4404864	1843778	2728
RR066e_02056_W-R218-E3_I05_S457	18783.946	4966687	6811860	29849	50	0	0	21	0	0	1081.000	7493.100	9880.200	13687.000	18352.000	22727.000	0.998	0.998	0.998	0.998	4939775	3337570	1601604	1946
RR066e_02057_W-R218-F3_K05_S459	50.682	14061	3786320	6696	16144	0	5	3	0	0	0.000	0.000	0.000	0.000	0.000	2.000	0.224	0.201	0.201	0.126	13983	8864	5012	4
RR066e_02058_W-R218-G3_M05_S461	11819.250	3002757	4568898	29620	186	0	3	13	0	0	40.000	1192.000	3502.000	6839.500	11272.000	16148.000	0.991	0.991	0.991	0.982	2988324	2133856	854002	1536
RR066e_02059_W-R218-H3_O05_S463	20461.642	5170400	7424124	29815	56	0	2	14	0	0	84.000	5774.000	8596.400	13337.000	19834.000	26231.000	0.997	0.995	0.995	0.989	5145621	3696276	1448502	2336
RR066e_02060_W-R218-A4_A07_S481	19952.327	4895814	8099702	29849	52	0	2	14	0	0	107.000	5176.100	8046.800	12761.500	19235.000	26030.500	0.998	0.996	0.996	0.990	4872232	3649754	1222290	1960
RR066e_02061_W-R218-B4_C07_S483	17139.688	4332626	6723764	29817	53	0	1	22	0	0	272.020	3570.200	5930.200	10427.500	16549.000	23176.500	0.997	0.997	0.997	0.997	4312368	3096030	1215494	2060
RR066e_02062_W-R218-C4_E07_S485	54.143	14898	2296112	5978	20239	0	2	2	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.200	0.158	0.158	0.127	14816	9590	5112	0
RR066e_02063_W-R218-D4_G07_S487	12920.527	3271125	8000240	29628	241	0	1	16	0	0	12.000	381.100	746.000	4216.000	10964.000	18918.500	0.991	0.983	0.983	0.971	3255277	2331630	922508	2302
RR066e_02064_W-R218-E4_I07_S489	16376.458	4258013	6800184	29815	69	0	2	20	0	0	210.240	2283.200	4431.000	8132.500	15223.000	22993.000	0.997	0.992	0.992	0.991	4236542	2930596	1305254	1888
RR066e_02065_W-R218-F4_K07_S491	22296.367	5653736	7681356	29861	11	0	1	23	0	0	1439.000	7518.100	9771.200	14149.000	20739.000	28745.000	0.999	0.998	0.998	0.998	5626714	4025266	1600326	3398
RR066e_02066_W-R218-G4_M07_S493	19005.736	4821286	7200988	29844	54	0	1	19	0	0	294.120	6012.100	8464.400	12424.000	17971.000	24112.500	0.998	0.998	0.998	0.997	4797981	3432780	1364492	2042
RR066e_02067_W-R218-H4_O07_S495	10358.456	2719958	4572828	29817	84	0	1	19	0	0	164.020	1020.100	2819.200	5389.000	10075.000	14474.500	0.997	0.996	0.996	0.990	2706506	1844864	861130	1584
