sample_name	depth_avg	mapped_reads	total_reads	n_actg	n_missing	n_gap	n_ambiguous	ref_snps	ref_mnps	ref_indels	depth_q.01	depth_q.05	depth_q.1	depth_q.25	depth_q.5	depth_q.75	depth_frac_above_10x	depth_frac_above_25x	depth_frac_above_50x	depth_frac_above_100x	mapped_paired	paired_inward	paired_outward	paired_other_orientation
RR065e_04837_W-R267-H6_P11_S176	2182.576	485667	1177140	29539	309	0	1	26	0	0	5.000	568.000	854.200	1375.000	2053.000	2912.000	0.988	0.987	0.987	0.981	483943	425144	58470	84
RR065e_04838_W-R267-A7_B13_S194	152.547	35118	599732	22090	6773	0	12	28	0	1	0.000	0.000	0.000	7.000	60.000	189.000	0.739	0.633	0.633	0.377	34986	29008	5758	14
RR065e_04839_W-R267-B7_D13_S196	7394.180	1711070	1839260	29816	11	0	0	16	0	0	634.000	1833.100	2424.000	4345.000	6801.000	9710.000	0.997	0.997	0.997	0.996	1704610	1384516	317670	4056
RR065e_04840_W-R267-D7_H13_S200	5576.333	1276417	1613510	29836	25	0	0	23	0	0	51.000	974.000	1796.000	3047.000	4672.000	7812.500	0.998	0.995	0.995	0.978	1271975	1068512	202762	1094
RR065e_04841_W-R267-E7_J13_S202	2451.318	551007	818510	29811	41	0	2	32	0	1	58.000	672.000	963.000	1469.000	2267.000	3148.000	0.997	0.996	0.996	0.989	549122	477598	71230	258
RR065e_04842_W-R267-F7_L13_S204	3172.041	710709	736166	29821	32	0	0	13	0	0	611.000	1033.000	1413.000	2080.000	2938.000	4017.000	0.997	0.996	0.996	0.996	708400	618756	89306	302
RR065e_04843_W-R267-G7_N13_S206	2384.201	535985	849000	29410	443	0	0	21	0	1	6.000	510.100	835.000	1455.000	2250.000	3205.500	0.984	0.981	0.981	0.979	534178	462386	71430	214
RR065e_04844_W-R267-H7_P13_S208	737.673	172427	482006	29495	297	0	6	34	0	5	0.000	52.000	89.000	198.000	440.000	947.000	0.987	0.976	0.976	0.885	171846	145132	26410	56
RR065e_04845_W-R267-A8_B15_S226	436.664	102782	688108	26887	2890	0	29	18	0	3	0.000	0.000	10.000	90.000	260.000	562.000	0.900	0.849	0.849	0.737	102432	81612	20560	48
RR065e_04846_W-R267-B8_D15_S228	25496.114	5792783	7018172	29804	73	0	2	31	0	0	164.000	8962.300	11720.000	17114.000	23770.000	33487.000	0.997	0.996	0.996	0.993	5770624	4893990	870892	12746
RR065e_04847_W-R267-C8_F15_S230	1917.368	461199	489634	29795	27	0	0	17	0	1	125.000	196.100	235.000	318.000	1461.000	3431.500	0.996	0.996	0.996	0.993	459735	348986	110358	306
RR065e_04848_W-R267-D8_H15_S232	8967.092	2053095	2135622	29813	38	0	3	16	0	0	292.000	2726.000	3533.000	5122.000	7394.000	12304.000	0.997	0.997	0.997	0.996	2046253	1704848	340702	1236
RR065e_04849_W-R267-E8_J15_S234	2064.299	461707	882790	29679	147	0	2	20	0	0	16.000	325.000	614.000	1119.000	1898.000	2701.000	0.993	0.980	0.980	0.979	460132	401474	58228	336
RR065e_04850_W-R267-F8_L15_S236	4529.292	1014229	1070302	29808	7	0	1	19	0	0	131.020	1067.100	1649.200	2599.000	4125.000	6022.000	0.997	0.996	0.996	0.993	1010863	880430	129958	380
RR065e_04851_W-R267-G8_N15_S238	95.330	21476	1582352	16100	13689	0	5	14	0	0	0.000	0.000	0.000	1.000	15.000	103.000	0.539	0.408	0.408	0.254	21392	18408	2802	2
RR065e_04852_W-R267-H8_P15_S240	46.233	10356	1612986	22429	6874	0	40	18	0	5	0.000	0.000	1.000	10.000	31.000	61.000	0.752	0.518	0.518	0.116	10330	8858	1328	0
RR065e_04853_W-R267-A9_B17_S258	12220.028	2804450	2941518	29851	15	0	0	16	0	0	2835.040	4561.100	5677.000	7907.500	11128.000	15519.500	0.998	0.998	0.998	0.997	2794410	2331728	461780	2106
RR065e_04854_W-R267-B9_D17_S260	30.509	7217	2013330	6844	22452	0	4	15	0	4	0.000	0.000	0.000	0.000	0.000	6.000	0.229	0.183	0.183	0.106	7191	5426	1668	8
RR065e_04855_W-R267-C9_F17_S262	3459.520	787158	3091010	29721	100	0	1	31	0	0	34.000	394.000	791.000	1872.000	3291.000	4778.000	0.994	0.991	0.991	0.980	784336	661972	121770	540
RR065e_04856_W-R267-D9_H17_S264	6611.719	1526389	2655254	29805	40	0	0	21	0	2	376.000	798.000	1279.200	2775.500	5109.000	9312.500	0.997	0.997	0.997	0.996	1521139	1244678	275550	1084
RR065e_04857_W-R267-E9_J17_S266	4070.164	912721	945836	29833	22	0	1	25	0	0	582.020	1226.100	1690.000	2522.000	3649.000	5145.500	0.998	0.996	0.996	0.996	909605	792710	116522	422
RR065e_04858_W-R267-G9_N17_S270	303.747	68430	1654544	27882	1911	0	9	30	0	0	0.000	7.000	14.000	62.000	195.000	414.500	0.933	0.833	0.833	0.674	68204	58762	9202	12
RR065e_04859_W-R267-H9_P17_S272	1612.658	362923	1901870	29803	47	0	0	24	0	0	61.000	168.000	346.200	714.000	1443.000	2282.000	0.997	0.996	0.996	0.977	361617	311212	50142	74
RR065e_04860_W-R267-A10_B19_S290	222.996	50966	1700078	25044	4753	0	17	23	0	0	0.000	1.000	3.000	22.000	105.000	283.000	0.838	0.714	0.714	0.510	50777	42604	7938	24
RR065e_04861_W-R267-B10_D19_S292	9639.170	2248342	2378846	29815	9	0	1	26	0	0	1694.020	3123.000	3960.000	5460.000	7925.000	13768.500	0.997	0.997	0.997	0.997	2238598	1810060	426314	3454
RR065e_04862_W-R267-C10_F19_S294	0.000	0	88806	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0
RR065e_04863_W-R267-D10_H19_S296	4718.524	1067026	1881634	29702	159	0	3	27	0	0	37.000	997.400	1490.200	2512.500	4160.000	6374.000	0.993	0.992	0.992	0.985	1063564	909942	153200	398
RR065e_04864_W-R267-E10_J19_S298	72.622	16524	219138	15064	14744	0	2	7	0	3	0.000	0.000	0.000	0.000	10.000	99.000	0.504	0.431	0.431	0.249	16470	13764	2530	2
RR065e_04865_W-R267-F10_L19_S300	188.528	47702	71000	29518	273	0	0	22	0	0	7.000	54.000	77.000	121.000	180.000	238.000	0.987	0.975	0.975	0.834	45974	43806	1874	54
RR065e_04866_W-R267-G10_N19_S302	2888.543	648455	784140	29507	361	0	0	18	0	0	0.000	676.100	1138.000	1808.000	2735.000	3804.000	0.987	0.980	0.980	0.976	646247	562366	84200	222
RR065e_04867_W-R267-H10_P19_S304	390.788	89529	575308	27342	2472	0	4	26	0	0	0.000	0.000	24.000	106.000	270.000	523.500	0.915	0.894	0.894	0.766	89261	74398	14624	20
RR065e_04868_W-R267-A11_B21_S322	6524.097	1474886	2030416	29761	95	0	0	18	0	0	36.000	1656.100	2573.200	4085.000	6131.000	8479.000	0.995	0.991	0.991	0.987	1469763	1259956	209450	746
